Module,/veins-4.4/examples/pveins_providencia/results/PER0.0/nodebug-0.sca_nodebug-0-20170522-18:21:30-4664_maxSpeed,/veins-4.4/examples/pveins_providencia/results/PER0.0/nodebug-0.sca_nodebug-0-20170522-18:21:30-4664_minSpeed,/veins-4.4/examples/pveins_providencia/results/PER0.0/nodebug-0.sca_nodebug-0-20170522-18:21:30-4664_startTime,/veins-4.4/examples/pveins_providencia/results/PER0.0/nodebug-0.sca_nodebug-0-20170522-18:21:30-4664_stopTime,/veins-4.4/examples/pveins_providencia/results/PER0.0/nodebug-0.sca_nodebug-0-20170522-18:21:30-4664_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/PER0.0/nodebug-0.sca_nodebug-0-20170522-18:21:30-4664_totalDistance,/veins-4.4/examples/pveins_providencia/results/PER0.0/nodebug-0.sca_nodebug-0-20170522-18:21:30-4664_totalTime
RSUExampleScenario.node[6].veinsmobility,16.9,6.9,27002.5,27011.5,42.5646,106.517,8.5
RSUExampleScenario.node[23].veinsmobility,16.25,6.9,27007.5,27029,81.417,282.983,21
RSUExampleScenario.node[69].veinsmobility,15.65,6.9,27020.5,27029.5,37.9131,104.936,8.5
RSUExampleScenario.node[12].veinsmobility,21.25,6.9,27004.5,27034,138.286,467.546,29
RSUExampleScenario.node[110].veinsmobility,15.85,7.1,27032,27041,37.2591,105.682,8.5
RSUExampleScenario.node[0].veinsmobility,18.5987,6.9,27000.5,27049,171.3,769.415,48
RSUExampleScenario.node[5].veinsmobility,18.9382,6.9,27002,27050,174.428,770.941,47.5
RSUExampleScenario.node[15].veinsmobility,20.5,6.9,27006,27051.5,185.276,766.727,45
RSUExampleScenario.node[26].veinsmobility,16.75,0,27008.5,27053.5,138.443,475.567,44.5
RSUExampleScenario.node[20].veinsmobility,19.5324,6.9,27007,27053.5,181.305,765.545,46
RSUExampleScenario.node[31].veinsmobility,18.2644,6.9,27011,27059.5,170.475,768.99,48
RSUExampleScenario.node[27].veinsmobility,15.2917,6.9,27008.5,27062,168.998,693.983,53
RSUExampleScenario.node[50].veinsmobility,18.75,5.5,27016,27062.5,166.562,659.751,46
RSUExampleScenario.node[52].veinsmobility,19.25,6.9,27016,27062.5,180.639,770.783,46
RSUExampleScenario.node[58].veinsmobility,19.5748,6.9,27017,27063.5,183.426,768.185,46
RSUExampleScenario.node[22].veinsmobility,18.75,5.5,27007.5,27064.5,188.988,862.727,56.5
RSUExampleScenario.node[74].veinsmobility,13.3675,0,27023,27067.5,98.1646,274.966,44
RSUExampleScenario.node[76].veinsmobility,19.25,6.9,27023,27070.5,178.543,767.446,47
RSUExampleScenario.node[82].veinsmobility,19.5324,6.9,27024,27070.5,183.882,767.303,46
RSUExampleScenario.node[28].veinsmobility,16.25,0,27009.5,27073,180.784,491.382,63
RSUExampleScenario.node[56].veinsmobility,15.1402,6.9,27017,27074,152.052,753.958,56.5
RSUExampleScenario.node[102].veinsmobility,19.5748,6.9,27028.5,27075,184.053,768.056,46
RSUExampleScenario.node[81].veinsmobility,15.7778,0,27024,27075.5,152.942,486.595,51
RSUExampleScenario.node[104].veinsmobility,19.5748,7.1,27029,27076.5,186.046,784.943,47
RSUExampleScenario.node[59].veinsmobility,15.4371,3.5,27017,27077,180.763,835.304,59.5
RSUExampleScenario.node[62].veinsmobility,16.25,5.5,27017.5,27077.5,196.284,870.874,59.5
RSUExampleScenario.node[146].veinsmobility,15.5,6.9,27041.5,27080.5,127.79,489.813,38.5
RSUExampleScenario.node[112].veinsmobility,18.2643,6.9,27032.5,27081,170.474,768.99,48
RSUExampleScenario.node[92].veinsmobility,17.5,3.5,27026,27082,201.435,860.319,55.5
RSUExampleScenario.node[216].veinsmobility,18.15,6.05457,27057.5,27082.5,81.6429,335.191,24.5
RSUExampleScenario.node[221].veinsmobility,18.0036,6.75,27059.5,27084,83.3418,336.372,24
RSUExampleScenario.node[64].veinsmobility,16.25,0,27018.5,27087,184.755,635.202,68
RSUExampleScenario.node[24].veinsmobility,17.1,0,27007.5,27087,197.689,650.356,79
RSUExampleScenario.node[11].veinsmobility,16.25,0,27004.5,27087,201.293,635.354,82
RSUExampleScenario.node[171].veinsmobility,16.15,5.4,27046.5,27087,134.738,496.145,40
RSUExampleScenario.node[45].veinsmobility,16.25,0,27015,27089,187.588,671.49,73.5
RSUExampleScenario.node[87].veinsmobility,16.4182,0,27025,27089,187.004,636.509,63.5
RSUExampleScenario.node[128].veinsmobility,18.6883,6.9,27036,27089,180.985,852.272,52.5
