Module,/veins-4.4/examples/pveins_providencia/results/PER 0.5/nodebug-0.sca_nodebug-0-20170526-15:03:57-1112_maxSpeed,/veins-4.4/examples/pveins_providencia/results/PER 0.5/nodebug-0.sca_nodebug-0-20170526-15:03:57-1112_minSpeed,/veins-4.4/examples/pveins_providencia/results/PER 0.5/nodebug-0.sca_nodebug-0-20170526-15:03:57-1112_startTime,/veins-4.4/examples/pveins_providencia/results/PER 0.5/nodebug-0.sca_nodebug-0-20170526-15:03:57-1112_stopTime,/veins-4.4/examples/pveins_providencia/results/PER 0.5/nodebug-0.sca_nodebug-0-20170526-15:03:57-1112_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/PER 0.5/nodebug-0.sca_nodebug-0-20170526-15:03:57-1112_totalDistance,/veins-4.4/examples/pveins_providencia/results/PER 0.5/nodebug-0.sca_nodebug-0-20170526-15:03:57-1112_totalTime
ProvidenciaExampleScenario.node[5].veinsmobility,15.65,6.9,27001.5,27023,75.7298,278.925,21
ProvidenciaExampleScenario.node[22].veinsmobility,16.25,6.9,27004,27025,80.8999,275.17,20.5
ProvidenciaExampleScenario.node[34].veinsmobility,16.4033,6.9,27006.5,27027.5,84.0331,282.761,20.5
ProvidenciaExampleScenario.node[36].veinsmobility,19.4,6.75,27006.5,27029.5,91.2293,324.458,22.5
ProvidenciaExampleScenario.node[17].veinsmobility,15.0959,0,27002.5,27038.5,104.863,292.726,35.5
ProvidenciaExampleScenario.node[119].veinsmobility,19.4,6.02642,27019,27044,87.8806,334.504,24.5
ProvidenciaExampleScenario.node[165].veinsmobility,15.65,6.9,27025.5,27047,74.9921,277.447,21
ProvidenciaExampleScenario.node[186].veinsmobility,15.65,6.9,27028.5,27050,73.1451,279.999,21
ProvidenciaExampleScenario.node[125].veinsmobility,22.5,6.9,27020.5,27050.5,148.595,492.051,29.5
ProvidenciaExampleScenario.node[18].veinsmobility,19.2778,6.9,27003,27050.5,183.524,776.155,47
ProvidenciaExampleScenario.node[21].veinsmobility,18.8958,6.9,27003.5,27051.5,174.443,770.295,47.5
ProvidenciaExampleScenario.node[23].veinsmobility,19.25,6.9,27004,27052.5,180.904,788.326,48
ProvidenciaExampleScenario.node[1].veinsmobility,16.25,6.9,27000.5,27053,192.119,692.991,52
ProvidenciaExampleScenario.node[15].veinsmobility,17.5,6.9,27002.5,27053.5,197.747,693.725,50.5
ProvidenciaExampleScenario.node[39].veinsmobility,19.25,6.9,27007,27054,172.764,765.264,46.5
ProvidenciaExampleScenario.node[48].veinsmobility,19.2321,6.9,27008.5,27056,177.538,775.003,47
ProvidenciaExampleScenario.node[58].veinsmobility,18.75,5.7,27011.5,27057,150.17,676.903,45
ProvidenciaExampleScenario.node[218].veinsmobility,19.8542,5.9,27033,27058,100.482,337.463,24.5
ProvidenciaExampleScenario.node[134].veinsmobility,15.5,5.5,27021.5,27060.5,113.995,494.241,38.5
ProvidenciaExampleScenario.node[80].veinsmobility,20.0867,6.9,27014.5,27060.5,186.73,765.217,45.5
ProvidenciaExampleScenario.node[90].veinsmobility,18.8109,6.9,27015.5,27063.5,173.261,768.056,47.5
ProvidenciaExampleScenario.node[103].veinsmobility,19.25,6.9,27017,27064,178.231,772.912,46.5
ProvidenciaExampleScenario.node[205].veinsmobility,16.25,5.5,27031.5,27065.5,120.545,453.668,33.5
ProvidenciaExampleScenario.node[64].veinsmobility,16.25,7.1,27012,27067,173.669,761.505,54.5
ProvidenciaExampleScenario.node[130].veinsmobility,18.2915,6.9,27021,27069,172.483,769.526,47.5
ProvidenciaExampleScenario.node[157].veinsmobility,18.5517,6.9,27024,27070,175.114,750.344,45.5
ProvidenciaExampleScenario.node[97].veinsmobility,15.65,6.9,27016.5,27072,154.778,751.604,55
ProvidenciaExampleScenario.node[149].veinsmobility,18.6553,5.61746,27023,27072,178.859,782.075,48.5
ProvidenciaExampleScenario.node[13].veinsmobility,16.25,0,27002.5,27073,188.334,491.692,70
ProvidenciaExampleScenario.node[168].veinsmobility,19.25,7.1,27025.5,27073,181.254,778.258,47
ProvidenciaExampleScenario.node[70].veinsmobility,15.4906,3.5,27012.5,27073.5,182.374,842.417,60.5
ProvidenciaExampleScenario.node[57].veinsmobility,16.6927,5.5,27010.5,27073.5,199.197,879.372,62.5
ProvidenciaExampleScenario.node[411].veinsmobility,10.5021,6.66953,27061,27074,29.7888,108.385,12.5
ProvidenciaExampleScenario.node[37].veinsmobility,18.45,0,27006.5,27074.5,265.107,914.901,67.5
ProvidenciaExampleScenario.node[86].veinsmobility,16.25,0,27015.5,27075.5,162.427,485.946,59.5
ProvidenciaExampleScenario.node[85].veinsmobility,16.25,7.1,27015,27077,187.611,870.108,61.5
ProvidenciaExampleScenario.node[75].veinsmobility,15.93,4.97647,27013.5,27078,208.574,881.36,64
ProvidenciaExampleScenario.node[78].veinsmobility,15.7353,0,27014.5,27078.5,168.961,492.277,63.5
ProvidenciaExampleScenario.node[215].veinsmobility,19.9143,6.9,27032.5,27078.5,189.882,770.787,45.5
