Module,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_maxSpeed,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_minSpeed,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_startTime,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_stopTime,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_totalDistance,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_totalTime
ProvidenciaExampleScenario.node[52].veinsmobility,17.7252,6.75,27016.5,27041,84.2214,339.291,24
ProvidenciaExampleScenario.node[92].veinsmobility,16.25,6.9,27027,27048.5,81.3864,283.018,21
ProvidenciaExampleScenario.node[12].veinsmobility,17.5,5.5,27004.5,27048.5,141.9,660.977,43.5
ProvidenciaExampleScenario.node[14].veinsmobility,19.6173,6.9,27004.5,27050.5,184.109,761.876,45.5
ProvidenciaExampleScenario.node[15].veinsmobility,19.9566,6.9,27005.5,27051.5,191.562,772.392,45.5
ProvidenciaExampleScenario.node[9].veinsmobility,16.25,7.1,27004,27058.5,175.988,748.414,54
ProvidenciaExampleScenario.node[41].veinsmobility,19.3202,6.9,27013.5,27060.5,181.873,767.727,46.5
ProvidenciaExampleScenario.node[45].veinsmobility,18.8533,6.9,27014.5,27061.5,171.496,756.737,46.5
ProvidenciaExampleScenario.node[43].veinsmobility,15.0816,3.5,27014,27062,145.507,590.324,47.5
ProvidenciaExampleScenario.node[42].veinsmobility,19.25,5.56549,27014,27062,185.706,777.79,47.5
ProvidenciaExampleScenario.node[19].veinsmobility,15.8202,6.9,27008,27062.5,164.516,754.296,54
ProvidenciaExampleScenario.node[40].veinsmobility,17.1818,6.9,27013.5,27065,198.104,690.491,51
ProvidenciaExampleScenario.node[29].veinsmobility,16.25,6.9,27010,27065.5,159.821,765.02,55
ProvidenciaExampleScenario.node[54].veinsmobility,18.6142,6.9,27017.5,27065.5,173.78,771.25,47.5
ProvidenciaExampleScenario.node[46].veinsmobility,15.1412,6.9,27015,27071,164.745,748.819,55.5
ProvidenciaExampleScenario.node[24].veinsmobility,16.7734,0,27008.5,27071.5,227.377,861.634,62.5
ProvidenciaExampleScenario.node[22].veinsmobility,15,5.5,27008,27072,181.801,868.057,63.5
ProvidenciaExampleScenario.node[35].veinsmobility,16.25,0,27012,27072.5,171.569,485.833,60
ProvidenciaExampleScenario.node[88].veinsmobility,19.25,6.9,27026,27073,177.139,764.912,46.5
ProvidenciaExampleScenario.node[4].veinsmobility,16.9,0,27002,27073.5,195.545,488.815,71
ProvidenciaExampleScenario.node[32].veinsmobility,15.054,5.5,27010.5,27075.5,207.781,884.586,64.5
ProvidenciaExampleScenario.node[23].veinsmobility,16.75,0,27008.5,27076,176.261,496.882,67
ProvidenciaExampleScenario.node[67].veinsmobility,16.9,0,27021,27078.5,149.444,484.214,57
ProvidenciaExampleScenario.node[108].veinsmobility,18.8958,6.9,27031.5,27079.5,174.443,770.295,47.5
ProvidenciaExampleScenario.node[113].veinsmobility,18.8534,6.9,27032.5,27080.5,173.626,768.714,47.5
ProvidenciaExampleScenario.node[56].veinsmobility,15.1462,3.5,27018,27081,193.586,865.062,62.5
ProvidenciaExampleScenario.node[72].veinsmobility,16.5417,4.41817,27022,27082,205.066,876.961,59.5
ProvidenciaExampleScenario.node[78].veinsmobility,20.0329,0,27023,27083,208.101,656.676,59.5
ProvidenciaExampleScenario.node[121].veinsmobility,14.7168,1.39607,27034.5,27083.5,142.11,495.647,48.5
ProvidenciaExampleScenario.node[147].veinsmobility,16.261,5.4,27043,27086,132.354,492.677,42.5
ProvidenciaExampleScenario.node[28].veinsmobility,16.25,0,27009.5,27087,189.132,634.415,77
ProvidenciaExampleScenario.node[26].veinsmobility,16.9,0,27009,27087,197.014,636.289,77.5
ProvidenciaExampleScenario.node[157].veinsmobility,16.15,5.4,27047,27087,146.419,496.804,39.5
ProvidenciaExampleScenario.node[30].veinsmobility,15.65,0,27010.5,27087.5,183.019,639.385,76.5
ProvidenciaExampleScenario.node[36].veinsmobility,18,0,27012,27087.5,228.256,775.257,75
ProvidenciaExampleScenario.node[107].veinsmobility,18.0694,0,27031,27088.5,167.175,653.784,57
ProvidenciaExampleScenario.node[33].veinsmobility,15.7864,0,27011,27089,187.089,664.788,77.5
ProvidenciaExampleScenario.node[75].veinsmobility,15.65,0,27023,27089.5,167.214,640.167,66
ProvidenciaExampleScenario.node[37].veinsmobility,16.25,0,27012.5,27089.5,187.958,653.399,76.5
ProvidenciaExampleScenario.node[82].veinsmobility,21,0,27025,27090.5,213.989,680.009,65
ProvidenciaExampleScenario.node[84].veinsmobility,16.0618,2.16005,27025.5,27091,173.422,648.604,65
ProvidenciaExampleScenario.node[68].veinsmobility,17.5,0,27021.5,27091,191.347,652.753,69
ProvidenciaExampleScenario.node[94].veinsmobility,16.25,0,27027.5,27091,175.006,612.949,63
ProvidenciaExampleScenario.node[87].veinsmobility,16.25,7.1,27026,27091.5,192.043,870.874,65
ProvidenciaExampleScenario.node[120].veinsmobility,18,6.9,27034,27092,182.872,863.862,57.5
ProvidenciaExampleScenario.node[122].veinsmobility,16.8271,4.73164,27034.5,27092.5,172.164,637.45,57.5
ProvidenciaExampleScenario.node[116].veinsmobility,16.25,2.31655,27033,27092.5,171.259,659.136,59
ProvidenciaExampleScenario.node[174].veinsmobility,16.0143,4.62321,27053.5,27093,125.318,487.052,39
ProvidenciaExampleScenario.node[110].veinsmobility,16,3.5,27031.5,27094,197.889,864.637,62
